,name,"
        district","
        borough","
        party",Name,District,Borough,Party,Nodes
X1,Inez Barron,42,Brooklyn,Democrat,Inez Barron,42,Brooklyn,Democrat,X1
X2,Fernando Cabrera,14,Bronx,Democrat,Fernando Cabrera,14,Bronx,Democrat,X2
X3,Margaret Chin,1,Manhattan,Democrat,Margaret Chin,1,Manhattan,Democrat,X3
X4,Andrew Cohen,11,Bronx,Democrat,Andrew Cohen,11,Bronx,Democrat,X4
X5,Robert Cornegy,36,Brooklyn,Democrat,Robert Cornegy,36,Brooklyn,Democrat,X5
X6,Costa Constantinides,22,Queens,Democrat,Costa Constantinides,22,Queens,Democrat,X6
X7,Robert Holden,30,Queens,Democrat,Robert Holden,30,Queens,Democrat,X7
X8,Laurie Cumbo,35,Brooklyn,Democrat,Laurie Cumbo,35,Brooklyn,Democrat,X8
X9,Chaim M. Deutsch,48,Brooklyn,Democrat,Chaim M. Deutsch,48,Brooklyn,Democrat,X9
X10,Daniel Dromm,25,Queens,Democrat,Daniel Dromm,25,Queens,Democrat,X10
X11,Rafael Espinal,37,Brooklyn,Democrat,Rafael Espinal,37,Brooklyn,Democrat,X11
X12,Mathieu Eugene,40,Brooklyn,Democrat,Mathieu Eugene,40,Brooklyn,Democrat,X12
X13,Keith Powers,4,Manhattan,Democrat,Keith Powers,4,Manhattan,Democrat,X13
X14,Justin Brannan,43,Brooklyn,Democrat,Justin Brannan,43,Brooklyn,Democrat,X14
X15,Vanessa L Gibson,16,Bronx,Democrat,Vanessa L Gibson,16,Bronx,Democrat,X15
X16,Kalman Yeger,44,Brooklyn,Democrat,Kalman Yeger,44,Brooklyn,Democrat,X16
X17,Corey Johnson,3,Manhattan,Democrat,Corey Johnson,3,Manhattan,Democrat,X17
X18,Andy King,12,Bronx,Democrat,Andy King,12,Bronx,Democrat,X18
X19,Ben Kallos,5,Manhattan,Democrat,Ben Kallos,5,Manhattan,Democrat,X19
X20,Peter Koo,20,Queens,Democrat,Peter Koo,20,Queens,Democrat,X20
X21,Karen Koslowitz,29,Queens,Democrat,Karen Koslowitz,29,Queens,Democrat,X21
X22,Rory Lancman,24,Queens,Democrat,Rory Lancman,24,Queens,Democrat,X22
X23,Brad Lander,39,Brooklyn,Democrat,Brad Lander,39,Brooklyn,Democrat,X23
X24,Stephen Levin,33,Brooklyn,Democrat,Stephen Levin,33,Brooklyn,Democrat,X24
X25,Mark Levine,7,Manhattan,Democrat,Mark Levine,7,Manhattan,Democrat,X25
X26,Alan Maisel,46,Brooklyn,Democrat,Alan Maisel,46,Brooklyn,Democrat,X26
X27,Diana Ayala,8,Manhattan,Democrat,Diana Ayala,8,Manhattan,Democrat,X27
X28,Diana Ayala,8,Bronx,Democrat,Diana Ayala,8,Bronx,Democrat,X28
X29,Steven Matteo,50,Staten Island,Republican,Steven Matteo,50,Staten Island,Republican,X29
X30,Alicka Ampry-Samuel,41,Brooklyn,Democrat,Alicka Ampry-Samuel,41,Brooklyn,Democrat,X30
X31,Carlos Menchaca,38,Brooklyn,Democrat,Carlos Menchaca,38,Brooklyn,Democrat,X31
X32,Carlina Rivera,2,Manhattan,Democrat,Carlina Rivera,2,Manhattan,Democrat,X32
X33,I. Daneek Miller,27,Queens,Democrat,I. Daneek Miller,27,Queens,Democrat,X33
X34,Ruben Diaz Sr.,18,Bronx,Democrat,Ruben Diaz Sr.,18,Bronx,Democrat,X34
X35,Donovan Richards,31,Queens,Democrat,Donovan Richards,31,Queens,Democrat,X35
X36,Ydanis Rodriguez,10,Manhattan,Democrat,Ydanis Rodriguez,10,Manhattan,Democrat,X36
X37,Deborah Rose,49,Staten Island,Democrat,Deborah Rose,49,Staten Island,Democrat,X37
X38,Helen Rosenthal,6,Manhattan,Democrat,Helen Rosenthal,6,Manhattan,Democrat,X38
X39,Ritchie Torres,15,Bronx,Democrat,Ritchie Torres,15,Bronx,Democrat,X39
X40,Mark Treyger,47,Brooklyn,Democrat,Mark Treyger,47,Brooklyn,Democrat,X40
X41,Eric Ulrich,32,Queens,Republican,Eric Ulrich,32,Queens,Republican,X41
X42,Mark Gjonaj,13,Bronx,Democrat,Mark Gjonaj,13,Bronx,Democrat,X42
X43,Paul Vallone,19,Queens,Democrat,Paul Vallone,19,Queens,Democrat,X43
X44,Jimmy Van Bramer,26,Queens,Democrat,Jimmy Van Bramer,26,Queens,Democrat,X44
X45,Farah Louis,45,Brooklyn,Democrat,Farah Louis,45,Brooklyn,Democrat,X45
X46,Francisco Moya,21,Queens,Democrat,Francisco Moya,21,Queens,Democrat,X46
X47,Adrienne Adams,28,Queens,N/A,Adrienne Adams,28,Queens,N/A,X47
X48,Joseph Borelli,51,Staten Island,Republican,Joseph Borelli,51,Staten Island,Republican,X48
X49,Antonio Reynoso,34,Queens,Democrat,Antonio Reynoso,34,Queens,Democrat,X49
X50,Antonio Reynoso,34,Brooklyn,Democrat,Antonio Reynoso,34,Brooklyn,Democrat,X50
X51,Bill Perkins,9,Manhattan,Democrat,Bill Perkins,9,Manhattan,Democrat,X51
X52,Barry Grodenchik,23,Queens,Democrat,Barry Grodenchik,23,Queens,Democrat,X52
X53,Rafael Salamanca,17,Bronx,Democrat,Rafael Salamanca,17,Bronx,Democrat,X53
